time,year,quarter,petrol,greendiesel,hybrid_petrol,electric,total,petrol_share,greendiesel_share,hybrid_petrol_share,electric_share,ron95,ron97,diesel,diesel_eastmsia,electric_price,policy
2017 Q1,2017,Q1,130462,11323,1845,9,143639,0.9082630761840447,0.07882956578645076,0.012844700951691393,6.265707781312875e-05,2.13,2.41,2.11,2.11,38.53,0
2017 Q2,2017,Q2,132040,11615,1621,13,145289,0.9088093386285266,0.07994411139177776,0.01115707314387187,8.947683582377192e-05,2.09,2.36,2.02,2.02,38.53,0
2017 Q3,2017,Q3,127712,11177,2175,2,141066,0.9053350913756681,0.07923241603221187,0.015418314831355535,1.417776076446486e-05,2.1,2.37,2.03,2.03,38.53,0
2017 Q4,2017,Q4,132674,13448,3502,1,149625,0.8867101086048454,0.0898780284043442,0.023405179615705932,6.683375104427736e-06,2.26,2.54,2.19,2.19,38.53,0
2018 Q1,2018,Q1,124378,11774,2519,4,138675,0.8969028303587525,0.08490355146926266,0.01816477375157743,2.8844420407427438e-05,2.24,2.51,2.24,2.24,38.53,0
2018 Q2,2018,Q2,143169,12124,2594,2,157889,0.9067699459747037,0.0767881233018133,0.016429263596577343,1.2667126905610904e-05,2.2,2.52,2.18,2.18,38.53,0
2018 Q3,2018,Q3,152348,17695,2336,2,172381,0.8837864961915757,0.10265052412968946,0.013551377471995174,1.1602206739721894e-05,2.2,2.61,2.18,2.18,38.53,0
2018 Q4,2018,Q4,128473,11257,294,2,140026,0.9174938939911159,0.08039221287475183,0.002099610072415123,1.428306171710968e-05,2.2,2.7,2.18,2.18,38.53,0
2019 Q1,2019,Q1,132618,10661,1164,5,144448,0.9181020159503767,0.07380510633584404,0.008058263181214002,3.4614532565352235e-05,2.03,2.38,2.16,2.16,38.53,0
2019 Q2,2019,Q2,143735,10535,1537,0,155807,0.9225195273639824,0.06761570404410584,0.009864768591911788,0.0,2.08,2.65,2.18,2.18,38.53,0
2019 Q3,2019,Q3,138563,10643,1510,30,150746,0.9191819351757261,0.07060220503363274,0.01001684953497937,0.00019901025566184177,2.08,2.57,2.18,2.18,38.53,0
2019 Q4,2019,Q4,148904,11271,1751,9,161935,0.9195294408250224,0.06960200080279125,0.010812980516874054,5.557785531231667e-05,2.08,2.63,2.18,2.18,38.53,0
2020 Q1,2020,Q1,104707,8393,803,13,113916,0.9191597317321535,0.07367709540363075,0.007049053688682889,0.00011411917553284876,1.94,2.3,2.05,2.05,38.53,1
2020 Q2,2020,Q2,65632,5116,375,4,71127,0.9227438244267296,0.07192767865929957,0.0052722594795225446,5.623743444824047e-05,1.38,1.68,1.56,1.56,38.53,1
2020 Q3,2020,Q3,165833,12024,420,13,178290,0.9301306859610746,0.0674406865219586,0.002355712603062426,7.29149139043132e-05,1.68,1.98,1.79,1.79,38.53,1
2020 Q4,2020,Q4,176496,12154,329,41,189020,0.9337424611152259,0.06430007406623638,0.0017405565548619193,0.0002169082636758015,1.68,1.98,1.8,1.8,38.53,1
2021 Q1,2021,Q1,133292,11788,636,44,145760,0.9144621295279912,0.08087266739846323,0.004363336992316136,0.00030186608122941824,1.96,2.29,2.11,2.11,38.53,1
2021 Q2,2021,Q2,103939,7824,706,57,112526,0.923688747489469,0.06953059737305156,0.006274105540052965,0.0005065495974263726,2.05,2.6,2.15,2.15,38.53,1
2021 Q3,2021,Q3,65049,7977,460,111,73597,0.8838539614386456,0.10838757014552224,0.006250254765819259,0.001508213650012908,2.05,2.73,2.15,2.15,38.53,1
2021 Q4,2021,Q4,181283,15915,928,45,198171,0.9147806692200171,0.0803094297349259,0.004682824429406926,0.00022707661565012034,2.05,2.98,2.15,2.15,38.53,1
