year,quarter,ron95,ron97,diesel,diesel_eastmsia
2017,Q1,2.13,2.41,2.11,2.11
2017,Q2,2.09,2.36,2.02,2.02
2017,Q3,2.1,2.37,2.03,2.03
2017,Q4,2.26,2.54,2.19,2.19
2018,Q1,2.24,2.51,2.24,2.24
2018,Q2,2.2,2.52,2.18,2.18
2018,Q3,2.2,2.61,2.18,2.18
2018,Q4,2.2,2.7,2.18,2.18
2019,Q1,2.03,2.38,2.16,2.16
2019,Q2,2.08,2.65,2.18,2.18
2019,Q3,2.08,2.57,2.18,2.18
2019,Q4,2.08,2.63,2.18,2.18
2020,Q1,1.94,2.3,2.05,2.05
2020,Q2,1.38,1.68,1.56,1.56
2020,Q3,1.68,1.98,1.79,1.79
2020,Q4,1.68,1.98,1.8,1.8
2021,Q1,1.96,2.29,2.11,2.11
2021,Q2,2.05,2.6,2.15,2.15
2021,Q3,2.05,2.73,2.15,2.15
2021,Q4,2.05,2.98,2.15,2.15
2022,Q1,2.05,3.39,2.15,2.15
2022,Q2,2.05,4.35,2.15,2.15
2022,Q3,2.05,4.38,2.15,2.15
2022,Q4,2.05,3.8,2.15,2.15
2023,Q1,2.05,3.35,2.15,2.15
2023,Q2,2.05,3.36,2.15,2.15
2023,Q3,2.05,3.37,2.15,2.15
2023,Q4,2.05,3.45,2.15,2.15
2024,Q1,2.05,3.47,2.15,2.15
2024,Q2,2.05,3.47,2.49,2.15
2024,Q3,2.05,3.4,3.21,2.15
2024,Q4,2.05,3.2,2.95,2.15
2025,Q1,2.05,3.37,3.11,2.15
2025,Q2,2.05,3.23,2.93,2.15
